,content,date,name
2,안녕하세요 8월 31일에 목디스크가 터져 팔이 잘안올라가고 통증과 저림이 있어 ㅊㅍㄹㅂㅇ에 ㅇㅊㅈ 원장님에게 목디스크 진단을 받았고 5번6번이 1/3 이상 터져서 신경성형술을 받게 되었습니다그런데 처음에는 통증이 없다가 이틀후부터 잠을 못잘정도로 통증이 지속되었고 잠을 잘려고해도 가슴 두근거림과 통증 그리고 몸이 움찔거려 계속 잠들기전에 깨기를 반복했었습니다 통증이 너무 심하여 병원에 애기하니 원래 아프다하여 경과를 지켜봤었는데 후에도 통증이 심하여 3일 입원하여 근육이완제와 물리치료 도수치료를 받자고 하여 받았습니다그런데 도수치료중 머리가 어지럽고 목이 닿을때 순간적으로 목 등통증은 사라지고 목에서 싸해지는 느낌이 들면서 온몸에 신경통?방사통 느낌이 들었고 말씀을 드리니 현재 목에 근육이 없어서 연관통이 왔다고 하였습니다 또 통증과 증상으로 잠을 못자서 수면제를 먹는데 먹어도 몇시간밖에 못자더라구요 ㅠ 이후에도 눕거나 목을 만지면 잠깐 등통증이 바로 반응이 왔었고 잠을 잘때 몸 전체에 힘이 빠지는듯한 느낌의 신경통과 발목도 신경통?마비? 비슷하게 불편한 느낌이 계속 오고있습니다이후 치료받으며 긴장이 풀리니 목 등통증이 조금 나아지나 싶엇는데 퇴원후에 통증이 지속되었습니다 의자에 앉아도 이런증상이 나오니 혹시나 잘못 되었나 싶어서 항상 불안에 살고 있습니다 어제부터 신전운동을 꾸준히 하고있고걷기운동도 하는데 다리에 힘이 많이 없어지고 오래 못걷겠더라구요현재 등 목 통증은 지속되고있고 누우면 통증이 심해지고 누워있으면 위에 말씀드린거와 같이 몸전체 신경통이 오면서 몸이 불편하며 잠을 못자고있습니다 몸무게는 5kg정도 빠졌고 아직까지 손가락저림은 없고 오늘 어깨바로밑에 이두삼두? 팔부분에 갑작스런 방상통이 심하게 나타났습니다 신경성형술 부작용이나 효과가 없는걸까요 ㅠ? 또 누울때 아픈건 배게가 잘못된걸까요 원장님이 처음에 4주 진단을 해주셨었고 일주일뒤로는 많이 좋아질거라고 하는데 현재 그렇지가 않아서 불안하네요ㅠ 혹시나 이후로 시술로도 회복이 안되면 자연적으로라도 디스크가 회복이 될까요ㅠ 증상이 더 심해질까봐 너무 무섭네요 ㅠㅠ,2023.09.10. 11:06,목디스크 5번6번
5,"임신하고나서 허리디스크가 생기는바람에약물,주사치료도 못 받고 강제적인 보존치료?하면서디스크가 엄청 악화되서 현재 출산하고나서는방사통,다리저림이 심해동네병원,종합병원,한의원을 다니면서치료를 받았지만 아무런 효과를 보지못하고 다 시술을권해서 대학병원 진료예약을 잡앗어요.ㅁㅂㄱ교수님이 호랑이선생님이라고 익히알고있어서설렘반 두려움반으로 진료실에 들어갔는데역시 소문대로 앉아계시는 포스부터 뭔가척추장인?같았어요ㅎㅎㅎㅎ저는 디스크 4기라는 진단을 받았는데남들보다 신경굵기가 굵어서 그나마 다행이라고하셨죠ㅠㅠ수술은 제가 원하지 않는다했고 통증이 심하니시술이라도 할까요?하니 본인이 하고 싶으면 하라고하시면서 제가 신경성형술은 어떠냐고 물어봤어요.그랫더니 교수님께서 그건 더이상 말 안하겠다며돈 많으면 하시라더라구요^^;그러면 전 어떻게 해야하나요?라고 여쭤보니평생 그렇게 살아야죠 하셨어요그말들으니 눈물이 왈칵ㅜㅜ교수님께서 일단 약을 줄테니 먹어봐라내가 이바닥 35년이다 라고 말씀하시면서그만 가라고 하시면서 진료끝낫어요ㅜㅜ무뚝뚝한 진료에 조금 속상했지만,,,뭔가 정말 방사통이란 고통에서 벗어주실것같은믿음이 생겨서 일단 약물치료하려구요!!약먹고 무통되엇음 좋겠네요ㅜㅜ",2023.09.09. 22:16,고읍동불주먹
9,5년전 척추 4~5번 ㅅㅂㄹㅅ에서 수술후에도몇개월 후부터 계속 아파왔고 그동안 시술.주사 운동등 여러가지 다해 봤지만 일상생활이 너무 힘들었어요.그래서 올 4월에 ㅇㅅ에서 MRI 다시 찍으니 3~4번.4~5번 디스크와 협착증 있지만 섬유근육통 때문에 통증을 더 느끼는거라며 섬근통 치료와 신경차단술을 했어요.여태껏 허리만 아프고 방사통은 없었는데 7월초부터 방사통이 심합니다.가만히 누워있으면 덜한데 일어서는 순간고관절과 종아리 옆라인 발등.발바닥까지 저리고 5분만 걸어도 종아리옆이 터질듯이 아파서 참을 수가 없어요. 신경주사는 7월과 9월 2회차 맞았는데도 차도가 없어 혹시ㅡ디스크 파열인가 걱정도 되고ㅡ4월달 사진 찍을때는 방사통 없을때였는데 다시 MRI 찍어 봐야 할까요ㅡ4~5번 수술한 부위 다시 디스크가 나올 수 있는지도 궁금합니다.ㅡ2회차 신경주사 맞은지 이틀째인데 신전운동은 언제부터 하면 될까요.지금은 침대에 누워만 있는데 고견 부탁 드립니다.,2023.09.09. 15:54,cho1705
14,"안녕하세요 만33세 여자 입니다. 이렇게 가입해서 제가 글을 쓰게 될지 꿈에도 몰랐어요저는 나름 체육인이라고? 생각했어요… 걷기도 많이 걷고? 요가랑 수영도 자주 했어요164에 51키로 보통 체형이구요…여튼 한달 전부터 왼쪽 엉덩이쪽이 아프기 시작했고 다리도 간간히 저린느낌이 왔는데 그냥 원래 운동을 자주 했는데 아이가 초등학교 입학하면서 운동을 못하고 해서 혈액순환이 안된다고 생각했네요;그러다가 9.5부터 다시 요가 (아쉬탕가)와 수영을 나갔는데, 요가할때 다리가 많이 이상하더라구요다리가 경련 이러난것처럼 아프고 굽혀지지 않고.. 이상함을 감지합니다… 그리고 다시 수영을 갔는데수영은 그렇게 아프진 않았지만 끝나고 나서 왼쪽 엉덩이부터 다리통증이 있고 앉아있을때!!!엄청 아프고 앉아있다가 일어날때 엄청난 통증이 밀려왔네요… 아이 하교하고 도저히 참을 수 없어서아이와 함께 동네 좀 큰? 정형외과 병원 ㅅㅇㅇㅇㅅㅂㅇ에 가서 진료 전 문진을 하니 정형외과 말고신경외과로 가라고 해서 의사 선생님 만나자마자 디스크네 엠알아이 찍고 오세요~ 해서 아이는 앞에서 유튜브 20분정도 보고 촬영 후 진료보니 요추 5번 디스크 파열이라네요.. ? 띠용이었어요일상생활 할때 소파에서 앉았다가 아픈 정도였는데요? 저 오늘도 운동하고 왔어요 라고 말했네요;;;여튼 선생님은 어떻게 참았냐 당장 수술해야할거 같은데 젊어서 곤란하다는 표정이고 보호자가 있냐지금 없다 시술이라도 받아야할거 같은데 괜찮냐 해서 네네 허리에 c-arm 으로 신경주사 맞고 왔고비싼 주사라고 설명해주셨는데 당일입퇴원으로 진행되는 시술도 내일 와서 받으라고 하셨는데우선 알겠다고 하고 집에 왔어요남편이랑 상의하고 여기 카페 가입하고 생각 끝에 그래도 대학병원 진료는 봐봐야할거 같아서부랴부랴 집에서 좀 가까운 ㄱㄷㄱㅎㄷㅂㅇ 당일진료가 가능하다고 해서 다음날 아침에 서류 준비해서ㅈㄷㅈ 교수님을 뵈었어요, 교수님은 그렇게 오래 뵙지는 못하고 인턴 레지던트 분이랑 문진을 했고엑스레이를 좀 더 세부적으로 찍고 왔어요교수님께서는 타원에서 찍어온 엠알아이 보시고는 요추 3,4번은 이미 퇴행이 왔고 5번은 파열이라고 하시더라구요 그래서 타원에서 허리에 사진 찍으면서 주사 맞았냐고 해서 네 맞았다 하니깐 지금 내가 딱히해줄 수 있는건 없고 가서 한달간 약 먹고 누워서 쉬고 오라고 하시더라고요그래서 혹시나 ㅅㅇㅇㅇㅅㅂㅇ에서는 비싼시술? 하라고 하셨는데 해야되는거 아니냐고 하니깐자기는 그 비싼 시술은 어짜피 허리에 놓는 주사의 비싼 버젼이라고 생각하셔서 안놔주신다고 하더라구요3분? 정도 저도 본거 같아요 어쩌면 5분 옆에 레지던트 선생님을 제 진료 보시면서 옆에서 엄청 혼내셔서..여튼 집 앞에서나 여기서나 해줄건 약물치료와 침상안정이구나 생각하고 왔구요진료비는 ㅅㅇㅇㅇㅅㅂㅇ MRI 등 약 55 정도ㄱㄷㄱㅎㄷㅂㅇ 에서는 초진비 엑스레이촬영 MRI 보관및 판독비 약 10만원 나왔고약값이 40일치가 14만원이더라구요.. 가바메드? 이게 아마 비보험 약물인거 같아요엄청 비싸네요..ㅜㅜ궁금한게 있는데.. ㅈㄷㅈ 교수님까지 봤으니 이제 그만 진료를 봐야하는지아님 ㅇㅅㅂㅇ ㅈㅅㅇ 교수님도 돌아오는 월요일에 진료 예약을 해놨는데 거기도 가봐야하는지회원님들의 의견이 궁금하네요….사진은 파열된 제 요추 5번 입니다… 사진은 ㅅㅇㅇㅇㅅㅂㅇ 원장님이 찍어주셨어요;",2023.09.09. 11:59,쓔똥
20,오른쪽 골반 방사통으로 인해 너무 고통스러웠음 똑바로 누울수도 없었고 왼쪽으로도 누울수 없고오른쪽이 아픈데 오른쪽으로만 누워서 잘수가 있었는데 너무 오른쪽으로만 자니까 욕창생길것같은 느낌 ㅜ저도 20대 때 왼쪽다리 아팟엇고 풍선확장술도해봤는데 효과없었지만 보존치료로 나은 케이스임하루가 고통스러워서 중증도 통증약을 먹어도 너무아프고 더쎈약은 안된다 해서 할수없이 뭐라도 해야겠다 생각을함병원에선 내시경디스크 수술 하라고 했지만 내나이 36살 이나이에 수술은 오바인것같아서신경성형술 하기로하고나서는 바로 안아팟음 2주지나니까 슬슬 아파왔지만 예전만치는 아님예전엔 고통이 10 이였으면 지금은 7정도 ...?약은 계속 먹고있고 3주후에 병원 진료 가서 좀씩 아파온다하니 신경차단주사 맞자고하심맞고다니 바로안아프다가 하루이틀 아플수있다했는데 진짜 좀 예전같이 아팟고며칠 덜아프다 했더니 또 7정도로 돌아옴 ... 또 2주뒤 오늘 갔는데신경차단주사 맞고 여자들은 피가 나올수도 있다 했는데 하혈을 한다하니 호르몬 영향때매 한다구주사는 또안맞는게 날것같다고... 어차피 시술은 완전히 나으려고 한건 아니니까 조금이라도 고통을 줄이려고 한거니까 ㅜㅜ여전히 약 먹고있고 운동하는 수밖에 없는것 같아요 ... 일도 전엔 서서하는 일이였는데 아파서 못하겠더라구요 ...무슨일을 해야할지...고민이네요 앉아있는건 괜찮은데 ...시술전엔 밤에 새벽에가 더아픈거 아시죠...? 혼자 깨서 엉엉울고 그랬는데 왜나한테만 이런일이 있는지야속하기도하고 진짜 집에만 있으니 우울하고 누굴 만나러 나가지도 못하니까... 걷지를 못하니정말 ㅈㅏㅅ 하는분 이해가 가기도 했어요 ㅜㅜㅜ 여러분 모두 힘내자요...살빼는 수밖에 없는듯 ...ㅜ 운동하고 근력하구 ..,2023.09.09. 00:19,최썽히
27,"================================================== 내 용 ======================================================언젠가 미래엔 수술후라 신경 안쓰고 잘 있겠지만,지금을 기억하기 위해서 기록으로 남깁니다.음슴체라 이해부탁 합니다과정이 있으니 참고 하시면 될듯아버지가 평소에도 건강하신편인데 (54년생)평소 급한 성격이라 날씬하고 운동도 좋아라 행르어느순간 팔이 많이 저리답니다 답답할만큼 잘때도 불편하시다고 ,시골 동네 병원에선 스테로이드 주사만 맞고 이렇다할 진료는 못 보신듯 합니다 어느 시골이든 돈되는 비급여에 의사들 많겠지 해요수소문해서 수원 윌슨 ㅈㅇㅇ다니고 있다가 한5회 갈때마다 주사 맞은듯 두번정도 같이 가고 나머진 아버지 혼자 진료수원만 다니기엔 다른교수 진료도 필요하지않을까 ? 생각에ㄱㄴㅅㅂ란스 ㄱㄱ수 교수 진료 예약 예약이 빨리 잡혀 다행철물점을 혼자 한 40년 하고 자수성가 까지는 아니지만 자식들 뒷바라지 하다가 이젠 좀 쉬려고 하니 몸이 고장나네요",2023.09.08. 15:50,서초ll yg파파
44,"안녕하세요. 기록을 남기기 위한 두서 없는 글 입니다. 감안하여 주세요.[만32세 / 남자 (군면제)]1. 저는 척수결박증후군(선천적 기형)으로 인해 만2살 하반신 마비로 ㄱㄹㄷㅇㅇ병원에서 7시간30분동안 응급수술을 받았고 이후 배뇨장애등과 같은 후유증으로 현재 만 32세까지 잘 살고 있었습니다. (*다른 후유증: 오른발이 안으로 휘는 기형, 오른쪽 종아리 얇아짐, 무릎 인대가 짧아 고2때 수술)2. 2023년부터 의자에 앉아 있으면 왼쪽 엉치와 꼬리뼈, 허리 아랫쪽 통증이 심하게 나타났으나, 하루 이틀이면 통증완화가 되어 별 대수롭지 않게 지냈습니다. (*다른 증상들: 다리에 자주 뒤가남, 근육 경련, 뒷꿈치 감각이상, 다리저림 등)3. 그러나 2달 전부터는 통증이 완화되지 않고 한달 넘게 이어져, 허리 디스크로 생각하여 ㅂㄷㅊ병원에 내원해 MRI 촬영을 하였습니다. 그 결과 예전 수술 부위에 혹이 보여 의사는 소견서를 써줄테니 큰병원으로 가라고 하였습니다. 이후 3군데 병원을 예약하였고 아래와 같이 진료를 진행하였습니다.-이하 음슴체-4. ㅅㅇㄷ병원 ㄱㅊㅎ 교수 진료: 양성 종양인 신경초종으로 보이며, 어렸을때 수술하였기 때문에 신경과 유착이 심해 수술하여도 성기능 장애 혹은 배뇨장애가 심해질 것이라고 함. ㄱㄹㄷㅇㅇ병원 의무기록 요청, 3개월 뒤 조영제 MRI로 크기 변화 보고 결정하자고 함. 산정특례 언급X. MRI 비급여라 100만원 나온다고 함. 진료 5분 컷5. ㄱㄹㄷㅇㅇ병원 ㅎㅈㅅ 교수 진료: 양성 종양인 신경초종으로 보임. 그러나 어렸을때 본원에서 수술한 기록으로 보아 이것이 성인이 되어 생겨난 단순 신경초종인지, 아니면 수술한 흉터의 흔적으로 보이는건지, 어렸을때부터 커져온 종양(가장 안좋은 케이스, 수술 후 유착으로 종양이랑 신경이 떡이 되어 있는 상황)인지 확인이 필요하다고 함. 성인이 되어 생긴 신경초종은 의사들이 겁을 많이 주지만 예후가 좋고 걱정 안해도 되는 병이라함. 최근 MRI 이전에 찍은 자료가 없냐고 물어봄. 나는 20살 병역 신체검사때 해당 질병으로 중앙신체검사소에서 MRI를 찍고 이로인해 면제를 받았음. 그렇기에 의사는 해당 자료가 있을지 모르지만 최선으로 자료를 구해달라고 요청함. 다행히 병무청에 13년 전 자료가 있었음. ㅎㅈㅅ 교수는 2주 뒤 조영제 MRI 찍고 진료볼때 비교해보자고 함. 산정특례 언급X. 비교적 편안하게 상세히 진료해주심.6. ㅅㅅㅅㅇ병원 ㄱㅇㅅ 교수 진료: 어렸을때 척수 결박 증후군을 앓은것으로 보임. 성장하면서 척수 및 신경이 위로 끌려 올라가야 하는데, 종양이 결박하여 못올라가게 잡고 있는 선천 질환이라 함. 절망적으로 병무청때 찍은 MRI 확인 결과 종양이 확인됨. 위 아래 크기는 변하지 않았으나, 아래쪽 부분이 부풀어 오른게 확인됨. 이로인해 신경을 압박하여 증상이 나타난것으로 보임. 조영제 MRI 촬영 해야 한다고 함. 산정특례에 해당하기 때문에 비용 걱정 말라고 하심. 바로 산정특례 신청 완료 됨. 추가 MRI 결과를 봐야 알지만 3가지 종류의 혹이 있다고 말해줌. 완치는 불가하다고 함. 수술은 해야함. 본인 소견으로는 신경과 엉켜있기 때문에 완전 절제 불가능, 크기만 일부 줄이는 수술로 가야한다고 함. 10월 조영제 MRI결과 보고 다음 방향 정하기로. 정상적인 성관계 가능한지 물어보았고 가능하다 함(이쪽에 중요한 척도인가 봄. 가능하면 괜찮다고 하심). 산정특례로 당일 진료비 천 몇백원. 진료 편안하고 정말 상세하게 진료 해주심.이렇게 세군대 병원 진료를 끝내고 ㅅㅅㅅㅇ병원 ㄱㅇㅅ 교수로 마음을 굳히고 있습니다.저와 같은 케이스나 정보 교류 가능하신 분들 언제나 환영입니다.",2023.09.08. 11:48,깐부
54,"ㄱㄱㅁㅅ365 ㄱㅅㅅ병원장님 진료후기입니다.금년 건강검진에서 목디스크가 관찰되니정형외과 전문의 상담 받아보라는 소견서를 받고, ㄱㄱㅁㅅ365의원 내원했습니다.목디스크 증상이 심하지 않지만 건강염려증이 있어서제가 거주하고 있는 부산에서 목디스크 치료로 유명하신 분 물색해서 가야겠다고 생각했고,이 카페에서 병원 검색후 내원했구요.365의원 인터넷 홈페이지에서 온라인예약으로 하니전화 별도로 안해도 카톡으로 예약접수, 예약확정 톡이 와서 편했어요.ㄱㅅㅅ 병원장님께서 목디스크라는 질병에 대해서 명쾌하게 설명해주시고,증상이 심하지 않으니 처방해주시는 약 잘 먹고 어깨를 자주 펴주면 된다고 하셔서 안심이 되었습니다.목디스크 발병 이전에 내원했던 병원에서는 거북목이니 체외충격파 치료를 받아야 된다고 해서당일 진료비 및 체외충격파 치료(1회)만 20몇만원 나왔었고, 주2회 내원해서 꾸준히 체외충격파 치료를 받으라고 했었는데 왠지 내키지 않아서 가지 않고 1회 진료만으로 마무리했었는데요,ㄱㅅㅅ병원장님은 그런 과잉진료를 하지 않고 딱 제상태에 필요한 진단을 내려주셔서 너무 신뢰가 가고 감사했습니다.",2023.09.08. 09:13,ㅇㄹㄶ
65,"현재상태: 엑스레이, 엠알아이 찍고 디스크탈출증, 오른쪽 신경눌림 진단 받고통증 심했는데 지방 대학병원 아침 저녁 약먹고 통증 호전오른팔 2주정도 근력 저하 병가내고 2주 집에서 휴식, 찜질, 걷기 후 근력 많이회복2-3일 전부터 왼쪽 근력 약간 저하, 통증은 없음ㅅㅊㅅㅂㄹㅅ ㅎㅇ교수님오전 이른 시간 대기 10분 정도, 상담 6분 정도통증 심했는데 다른 대학병원 약 먹고 통증 많이 줄었다고 하니이제 통증 심할 때만 약 복용하라고 약 처방양 팔 눌러보시고 팔 잡아당겨라 밀어봐라 하시고척수증 아니고수술할 정도는 아니다 하시고집 근처에서 견인치료하라 하시고통증 심해지고 힘빠짐 심해지면 수술하는게 좋다재진은 안잡아 주셨어요ㄱㄴㅅㅂㄹㅅ ㄱㄱㅅ교수님오후예약 대기 1시간 정도, 상담 6분 정도목, 양 팔 눌러보시고 양 팔 눌러봐라 밀어봐라 하시고오른쪽은 통증에 근력저하는 가능한데엠알아이 보면 (2주전에찍음) 왼쪽은 원인이 명확하지 않다보통 힘이빠지면 통증을 동반한다신경눌림에 비해 오른쪽 이두박근 힘이 있는편신경눌림은 심한편척수증은 아니다수술은 일단 통증이 없다해서맨손체조, 물리치료, 걷기 등 하고 관리 잘해보고(근무, 집안일 약하게)한달 후에 다시와라같은 날 진료를 본 건데한 분은 약처방 후 재진x한 분은 약x 한 달 후 재진 이렇게 다르시네요특히 ㄱㄱㅅ 교수님 3개월 6개월 아니고한달 후에 오라고 하셔서 많이 심한건지 걱정됩니다ㅜㅜ",2023.09.08. 08:50,스프링2
77,"안녕하세요 허리,목 통증으로 우선 엑스레이 부터 찍어볼까 하고 오늘 정형외과에 다녀왔습니다~역시나 척추는 s자, 목은 일자목이더라구요 ㅠㅠ치료도 중요하지만 생활습관 안고치면 아무리 치료받아도 소용없다고 몇가지 알려주셨는데..그중 하나가 제가 평소에 왼쪽으로 자는 습관이 있는데 그게 척추가 뒤틀리는데 가장 큰 요인이라고 앞으로는 무조건 오른쪽으로만 자라고 하시네요~첨엔 농담인가 했는데 진지하시더라구여..ㅋㅋㅋㅋ 척추가 다시 일자가 되려면 반대방향으로 중력을 가해야한다고(?)그후엔 계속 추적관찰 하듯이 엑스레이 다시 찍어보면서 일자가 됐을때 그때는 똑바로 누워자는 습관으로 바꾸면 된다고 하시는데...이게 일리가 있는 말씀인가요? 제가 척추 관련한 진료는 아예 처음이라 너무 무지해서ㅠㅠ;;지식이 많으신 분들이 많은곳에 여쭤봅니다",2023.09.07. 18:58,뭉치면먹는다
